Year,Month,DayofMonth,DayOfWeek,FlightDate,Carrier_Airline,Tail_Number,Origin,Dest,CRSDepTime,DepTime,DepDelay,CRSArrTime,ArrTime,ArrDelay,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,Distance,CRSDepTimeHour,CRSDepTimeMinute,CRSArrTimeHour,CRSArrTimeMinute,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
2022,3,29,2,2022-03-29,OH,N565NN,MYR,CLT,1430,1418.0,-12.0,1539,1522.0,-17.0,0.0,0.0,69.0,64.0,157.0,14,30,15,39,2022-03-29 14:30:00,69.0,-17.0,Unknown
2022,3,27,7,2022-03-27,OH,N566NN,PNS,CLT,1237,1231.0,-6.0,1522,1515.0,-7.0,0.0,0.0,105.0,104.0,488.0,12,37,15,22,2022-03-27 12:37:00,105.0,-7.0,Unknown
2022,3,20,7,2022-03-20,OH,N567NN,PHL,CVG,1945,1944.0,-1.0,2143,2118.0,-25.0,0.0,0.0,118.0,94.0,507.0,19,45,21,43,2022-03-20 19:45:00,118.0,-25.0,Unknown
2022,3,29,2,2022-03-29,OH,N568NN,PNS,CLT,1237,1231.0,-6.0,1522,1524.0,2.0,0.0,0.0,105.0,113.0,488.0,12,37,15,22,2022-03-29 12:37:00,105.0,2.0,Unknown
2022,3,31,4,2022-03-31,OH,N569NN,PHL,MCI,1530,1526.0,-4.0,1732,1744.0,12.0,0.0,0.0,182.0,198.0,1038.0,15,30,17,32,2022-03-31 15:30:00,182.0,12.0,Unknown
2022,3,28,1,2022-03-28,OH,N570NN,CLT,CVG,2009,2001.0,-8.0,2138,2125.0,-13.0,0.0,0.0,89.0,84.0,335.0,20,9,21,38,2022-03-28 20:09:00,89.0,-13.0,Unknown
2022,3,28,1,2022-03-28,OH,N571NN,DAY,DCA,0626,825.0,119.0,0750,938.0,108.0,0.0,0.0,84.0,73.0,391.0,6,26,7,50,2022-03-28 06:26:00,84.0,108.0,Unknown
2022,3,31,4,2022-03-31,OH,N572NN,FAY,CLT,1956,2050.0,54.0,2103,2145.0,42.0,0.0,0.0,67.0,55.0,118.0,19,56,21,3,2022-03-31 19:56:00,67.0,42.0,Unknown
2022,3,24,4,2022-03-24,OH,N573NN,STL,PHL,0534,528.0,-6.0,0840,837.0,-3.0,0.0,0.0,126.0,129.0,814.0,5,34,8,40,2022-03-24 05:34:00,126.0,-3.0,Unknown
2022,3,31,4,2022-03-31,OH,N574NN,CLE,PHL,1715,2041.0,206.0,1843,2221.0,218.0,0.0,0.0,88.0,100.0,363.0,17,15,18,43,2022-03-31 17:15:00,88.0,218.0,Unknown
2022,3,31,4,2022-03-31,OH,N575NN,IND,CLT,1533,1533.0,0.0,1715,1718.0,3.0,0.0,0.0,102.0,105.0,427.0,15,33,17,15,2022-03-31 15:33:00,102.0,3.0,Unknown
2022,3,31,4,2022-03-31,OH,N576NN,PHL,DAY,1937,2304.0,207.0,2126,203.0,277.0,0.0,0.0,109.0,179.0,477.0,19,37,21,26,2022-03-31 19:37:00,109.0,277.0,Unknown
2022,3,28,1,2022-03-28,OH,N577NN,BHM,DCA,0956,956.0,0.0,1259,1258.0,-1.0,0.0,0.0,123.0,122.0,653.0,9,56,12,59,2022-03-28 09:56:00,123.0,-1.0,Unknown
2022,3,31,4,2022-03-31,OH,N578NN,MYR,CLT,1430,1430.0,0.0,1539,1612.0,33.0,0.0,0.0,69.0,102.0,157.0,14,30,15,39,2022-03-31 14:30:00,69.0,33.0,Unknown
2022,3,30,3,2022-03-30,OH,N579NN,AGS,CLT,0700,658.0,-2.0,0806,812.0,6.0,0.0,0.0,66.0,74.0,140.0,7,0,8,6,2022-03-30 07:00:00,66.0,6.0,Unknown
2022,3,31,4,2022-03-31,OH,N580NN,CLT,CVG,2009,2007.0,-2.0,2138,2133.0,-5.0,0.0,0.0,89.0,86.0,335.0,20,9,21,38,2022-03-31 20:09:00,89.0,-5.0,Unknown
2022,3,23,3,2022-03-23,OH,N581NN,MHT,DCA,0608,559.0,-9.0,0759,734.0,-25.0,0.0,0.0,111.0,95.0,406.0,6,8,7,59,2022-03-23 06:08:00,111.0,-25.0,Unknown
2022,3,29,2,2022-03-29,OH,N582NN,BHM,CLT,0750,745.0,-5.0,1030,1013.0,-17.0,0.0,0.0,100.0,88.0,350.0,7,50,10,30,2022-03-29 07:50:00,100.0,-17.0,Unknown
2022,3,31,4,2022-03-31,OH,N583NN,OMA,CLT,0603,605.0,2.0,0946,1029.0,43.0,0.0,0.0,163.0,204.0,913.0,6,3,9,46,2022-03-31 06:03:00,163.0,43.0,Unknown
2022,3,31,4,2022-03-31,OH,N584NN,MDT,CLT,2001,2024.0,23.0,2141,2315.0,94.0,0.0,0.0,100.0,171.0,413.0,20,1,21,41,2022-03-31 20:01:00,100.0,94.0,Unknown
2022,3,27,7,2022-03-27,OH,N585NN,MDT,CLT,1703,1656.0,-7.0,1842,1825.0,-17.0,0.0,0.0,99.0,89.0,413.0,17,3,18,42,2022-03-27 17:03:00,99.0,-17.0,Unknown
2022,3,27,7,2022-03-27,OH,N586NN,DTW,PHL,0600,551.0,-9.0,0744,717.0,-27.0,0.0,0.0,104.0,86.0,453.0,6,0,7,44,2022-03-27 06:00:00,104.0,-27.0,Unknown
2022,3,31,4,2022-03-31,OH,N587NN,CLT,BTV,2022,2030.0,8.0,2242,2229.0,-13.0,0.0,0.0,140.0,119.0,761.0,20,22,22,42,2022-03-31 20:22:00,140.0,-13.0,Unknown
2022,3,28,1,2022-03-28,OH,N588NN,PHL,DCA,1950,2217.0,147.0,2100,2315.0,135.0,0.0,0.0,70.0,58.0,119.0,19,50,21,0,2022-03-28 19:50:00,70.0,135.0,Unknown
2022,3,30,3,2022-03-30,OH,N589NN,VPS,CLT,1430,1456.0,26.0,1717,1726.0,9.0,0.0,0.0,107.0,90.0,460.0,14,30,17,17,2022-03-30 14:30:00,107.0,9.0,Unknown
2022,3,29,2,2022-03-29,OH,N590NN,CLT,MKE,0759,752.0,-7.0,0910,859.0,-11.0,0.0,0.0,131.0,127.0,651.0,7,59,9,10,2022-03-29 07:59:00,131.0,-11.0,Unknown
2022,3,31,4,2022-03-31,OH,N591NN,DAB,CLT,1203,1205.0,2.0,1350,1356.0,6.0,0.0,0.0,107.0,111.0,416.0,12,3,13,50,2022-03-31 12:03:00,107.0,6.0,Unknown
2022,3,26,6,2022-03-26,OH,N592NN,PHL,MCI,1532,1527.0,-5.0,1735,1708.0,-27.0,0.0,0.0,183.0,161.0,1038.0,15,32,17,35,2022-03-26 15:32:00,183.0,-27.0,Unknown
2022,3,14,1,2022-03-14,OH,N593NN,PIA,CLT,1638,1633.0,-5.0,1940,1925.0,-15.0,0.0,0.0,122.0,112.0,607.0,16,38,19,40,2022-03-14 16:38:00,122.0,-15.0,Unknown
2022,3,30,3,2022-03-30,OH,N594NN,DCA,MHT,2210,2208.0,-2.0,2343,2330.0,-13.0,0.0,0.0,93.0,82.0,406.0,22,10,23,43,2022-03-30 22:10:00,93.0,-13.0,Unknown
2022,3,26,6,2022-03-26,OH,N595NN,CVG,PHL,0832,910.0,38.0,1015,1052.0,37.0,0.0,0.0,103.0,102.0,507.0,8,32,10,15,2022-03-26 08:32:00,103.0,37.0,Unknown
2022,3,28,1,2022-03-28,OH,N596NN,PHL,CLE,2208,2202.0,-6.0,2341,2344.0,3.0,0.0,0.0,93.0,102.0,363.0,22,8,23,41,2022-03-28 22:08:00,93.0,3.0,Unknown
2022,3,29,2,2022-03-29,OH,N597NN,STL,DCA,1056,1113.0,17.0,1359,1420.0,21.0,0.0,0.0,123.0,127.0,719.0,10,56,13,59,2022-03-29 10:56:00,123.0,21.0,Unknown
2022,3,31,4,2022-03-31,OH,N598NN,PHL,STL,1341,1339.0,-2.0,1516,1503.0,-13.0,0.0,0.0,155.0,144.0,814.0,13,41,15,16,2022-03-31 13:41:00,155.0,-13.0,Unknown
2022,3,31,4,2022-03-31,OH,N599NN,DCA,RDU,2000,2056.0,56.0,2114,2203.0,49.0,0.0,0.0,74.0,67.0,227.0,20,0,21,14,2022-03-31 20:00:00,74.0,49.0,Unknown
2022,3,31,4,2022-03-31,OH,N600NN,STL,PHL,0534,525.0,-9.0,0840,825.0,-15.0,0.0,0.0,126.0,120.0,814.0,5,34,8,40,2022-03-31 05:34:00,126.0,-15.0,Unknown
2022,3,27,7,2022-03-27,OH,N601EN,GSP,CLT,1815,1812.0,-3.0,1918,1905.0,-13.0,0.0,0.0,63.0,53.0,75.0,18,15,19,18,2022-03-27 18:15:00,63.0,-13.0,Unknown
2022,3,31,4,2022-03-31,OH,N602NN,PNS,DCA,1326,1407.0,41.0,1640,1705.0,25.0,0.0,0.0,134.0,118.0,816.0,13,26,16,40,2022-03-31 13:26:00,134.0,25.0,Unknown
2022,3,30,3,2022-03-30,OH,N603NN,CLT,FAY,1820,1813.0,-7.0,1924,1905.0,-19.0,0.0,0.0,64.0,52.0,118.0,18,20,19,24,2022-03-30 18:20:00,64.0,-19.0,Unknown
2022,3,31,4,2022-03-31,OH,N604NN,MHT,CLT,1420,1411.0,-9.0,1657,1654.0,-3.0,0.0,0.0,157.0,163.0,737.0,14,20,16,57,2022-03-31 14:20:00,157.0,-3.0,Unknown
2022,3,31,4,2022-03-31,OH,N605NN,SDF,CLT,1533,1531.0,-2.0,1708,1718.0,10.0,0.0,0.0,95.0,107.0,335.0,15,33,17,8,2022-03-31 15:33:00,95.0,10.0,Unknown
2022,3,29,2,2022-03-29,OH,N606NN,CLT,BTV,2022,2016.0,-6.0,2242,2238.0,-4.0,0.0,0.0,140.0,142.0,761.0,20,22,22,42,2022-03-29 20:22:00,140.0,-4.0,Unknown
2022,3,31,4,2022-03-31,OH,N607NN,CLT,TYS,2020,2025.0,5.0,2130,2141.0,11.0,0.0,0.0,70.0,76.0,177.0,20,20,21,30,2022-03-31 20:20:00,70.0,11.0,Unknown
2022,3,31,4,2022-03-31,OH,N608NN,VPS,CLT,1430,1438.0,8.0,1717,1716.0,-1.0,0.0,0.0,107.0,98.0,460.0,14,30,17,17,2022-03-31 14:30:00,107.0,-1.0,Unknown
2022,3,31,4,2022-03-31,OH,N609NN,PHL,CVG,1945,2215.0,150.0,2143,37.0,174.0,0.0,0.0,118.0,142.0,507.0,19,45,21,43,2022-03-31 19:45:00,118.0,174.0,Unknown
2022,3,25,5,2022-03-25,OH,N610NN,CLT,FAY,2251,2249.0,-2.0,2359,2340.0,-19.0,0.0,0.0,68.0,51.0,118.0,22,51,23,59,2022-03-25 22:51:00,68.0,-19.0,Unknown
2022,3,31,4,2022-03-31,OH,N611NN,DTW,PHL,0600,620.0,20.0,0744,748.0,4.0,0.0,0.0,104.0,88.0,453.0,6,0,7,44,2022-03-31 06:00:00,104.0,4.0,Unknown
2022,3,31,4,2022-03-31,OH,N612NN,TLH,CLT,2009,2119.0,70.0,2145,2247.0,62.0,0.0,0.0,96.0,88.0,386.0,20,9,21,45,2022-03-31 20:09:00,96.0,62.0,Unknown
2022,3,31,4,2022-03-31,OH,N613NN,JAX,PHL,1522,1550.0,28.0,1732,1741.0,9.0,0.0,0.0,130.0,111.0,742.0,15,22,17,32,2022-03-31 15:22:00,130.0,9.0,Unknown
2022,3,25,5,2022-03-25,OH,N614NN,DTW,PHL,0600,551.0,-9.0,0744,719.0,-25.0,0.0,0.0,104.0,88.0,453.0,6,0,7,44,2022-03-25 06:00:00,104.0,-25.0,Unknown
2022,3,30,3,2022-03-30,OH,N615NN,EWN,CLT,1417,1415.0,-2.0,1539,1527.0,-12.0,0.0,0.0,82.0,72.0,221.0,14,17,15,39,2022-03-30 14:17:00,82.0,-12.0,Unknown
2022,3,15,2,2022-03-15,OH,N702PS,DCA,HPN,2015,2045.0,30.0,2145,2153.0,8.0,0.0,0.0,90.0,68.0,234.0,20,15,21,45,2022-03-15 20:15:00,90.0,8.0,Unknown
2022,3,31,4,2022-03-31,OH,N703PS,CAE,DCA,1929,2117.0,108.0,2100,2253.0,113.0,0.0,0.0,91.0,96.0,408.0,19,29,21,0,2022-03-31 19:29:00,91.0,113.0,Unknown
2022,3,31,4,2022-03-31,OH,N705PS,SHV,CLT,1536,1622.0,46.0,1850,1919.0,29.0,0.0,0.0,134.0,117.0,764.0,15,36,18,50,2022-03-31 15:36:00,134.0,29.0,Unknown
2022,3,25,5,2022-03-25,OH,N706PS,IAD,CLT,2016,2026.0,10.0,2148,2147.0,-1.0,0.0,0.0,92.0,81.0,322.0,20,16,21,48,2022-03-25 20:16:00,92.0,-1.0,Unknown
2022,3,11,5,2022-03-11,OH,N708PS,HSV,DCA,1552,1601.0,9.0,1845,1850.0,5.0,0.0,0.0,113.0,109.0,613.0,15,52,18,45,2022-03-11 15:52:00,113.0,5.0,Unknown
2022,3,27,7,2022-03-27,OH,N709PS,STL,DCA,1445,1442.0,-3.0,1749,1748.0,-1.0,0.0,0.0,124.0,126.0,719.0,14,45,17,49,2022-03-27 14:45:00,124.0,-1.0,Unknown
2022,3,31,4,2022-03-31,OH,N710PS,HPN,DCA,1729,1724.0,-5.0,1842,1850.0,8.0,0.0,0.0,73.0,86.0,234.0,17,29,18,42,2022-03-31 17:29:00,73.0,8.0,Unknown
2022,3,31,4,2022-03-31,OH,N712PS,CAK,CLT,0850,854.0,4.0,1034,1044.0,10.0,0.0,0.0,104.0,110.0,394.0,8,50,10,34,2022-03-31 08:50:00,104.0,10.0,Unknown
2022,3,25,5,2022-03-25,OH,N716PS,HSV,DCA,1552,1708.0,76.0,1845,1951.0,66.0,0.0,0.0,113.0,103.0,613.0,15,52,18,45,2022-03-25 15:52:00,113.0,66.0,Unknown
2022,3,31,4,2022-03-31,OH,N718PS,TRI,CLT,1952,1943.0,-9.0,2058,2035.0,-23.0,0.0,0.0,66.0,52.0,119.0,19,52,20,58,2022-03-31 19:52:00,66.0,-23.0,Unknown
2022,3,20,7,2022-03-20,OH,N719PS,DCA,SRQ,0859,1611.0,432.0,1141,1927.0,466.0,0.0,0.0,162.0,196.0,851.0,8,59,11,41,2022-03-20 08:59:00,162.0,466.0,Unknown
2022,3,31,4,2022-03-31,OH,N720PS,TYS,DCA,1444,1443.0,-1.0,1621,1620.0,-1.0,0.0,0.0,97.0,97.0,437.0,14,44,16,21,2022-03-31 14:44:00,97.0,-1.0,Unknown
2022,3,26,6,2022-03-26,OH,N723PS,ILM,DCA,1755,1747.0,-8.0,1916,1859.0,-17.0,0.0,0.0,81.0,72.0,319.0,17,55,19,16,2022-03-26 17:55:00,81.0,-17.0,Unknown
2022,3,16,3,2022-03-16,OH,N725PS,ILM,DCA,1840,1831.0,-9.0,2000,1938.0,-22.0,0.0,0.0,80.0,67.0,319.0,18,40,20,0,2022-03-16 18:40:00,80.0,-22.0,Unknown
